rank,start,decay_per_day,floor,mean_cohort_accuracy,mean_event_accuracy,delta_vs_50_50_pp,delta_vs_irl_only_pp,delta_vs_online_only_pp
111,0.95,0.05,0.4,84.53547080221674,84.81701077038241,0.42354584636345294,2.3323416198657583,8.16321794194333
112,0.9,0.04,0.25,84.53485696169473,84.83856097384732,0.42293200584144586,2.331727779343751,8.162604101421323
113,0.85,0.04,0.45,84.53418568260001,84.85527772849855,0.4222607267467282,2.3310565002490335,8.161932822326605
114,0.95,0.02,0.5,84.53053660011886,84.73467385873256,0.4186116442655816,2.327407417767887,8.158283739845459
115,0.8,0.03,0.2,84.52904435014219,84.89152191602543,0.4171193942889033,2.3259151677912087,8.15679148986878
116,0.8,0.03,0.15,84.52854648312956,84.89974813742224,0.416621527276277,2.3254173007785823,8.156293622856154
117,0.95,0.02,0.15,84.52815615620565,84.77541224866357,0.41623120035237093,2.3250269738546763,8.155903295932248
118,0.9,0.04,0.3,84.5279918656105,84.82240984480401,0.4160669097572196,2.324862683259525,8.155739005337097
119,0.9,0.05,0.45,84.5265831437444,84.8520525059845,0.41465818789112063,2.323453961393426,8.154330283470998
120,0.8,0.03,0.25,84.52362316370116,84.877300602921,0.41169820784787703,2.3204939813501824,8.151370303427754
121,1.0,0.05,0.2,84.51733370515988,84.77696607198763,0.4054087493066021,2.3142045228089074,8.145080844886479
122,1.0,0.05,0.15,84.51683583814726,84.78519229338445,0.40491088229397576,2.313706655796281,8.144582977873853
123,0.8,0.03,0.3,84.51675806761693,84.86114947387769,0.4048331117636508,2.313628885265956,8.144505207343528
124,0.9,0.04,0.35,84.51551190729604,84.79855772703667,0.4035869514427617,2.312382724945067,8.143259047022639
125,1.0,0.05,0.25,84.51191251871886,84.7627447588832,0.3999875628655758,2.308783336367881,8.139659658445453
126,0.95,0.02,0.1,84.51098400851689,84.76360639712755,0.39905905266360264,2.307854826165908,8.13873114824348
127,1.0,0.05,0.3,84.50504742263463,84.7465936298399,0.39312246678134954,2.301918240283655,8.132794562361227
128,0.8,0.03,0.35,84.50427810930249,84.83729735611034,0.39235315344920707,2.3011489269515124,8.132025249029084
129,0.9,0.04,0.1,84.4990739897478,84.81684320924352,0.3871490338945165,2.295944807396822,8.126821129474394
130,1.0,0.05,0.35,84.49256746432019,84.72274151207256,0.38064250846690584,2.289438281969211,8.120314604046783
131,0.8,0.03,0.1,84.48784019175424,84.85558283831719,0.3759152359009619,2.284711009403267,8.115587331480839
132,0.8,0.03,0.4,84.48740125182854,84.80816485242416,0.3754762959752611,2.2842720694775664,8.115148391555138
133,1.0,0.05,0.1,84.47612954677193,84.7410269942794,0.36420459091864643,2.2730003644209518,8.103876686498523
134,0.85,0.04,0.4,84.45652059506462,84.78283928976198,0.3445956392113345,2.25339141271364,8.084267734791212
135,0.9,0.05,0.4,84.44891805620901,84.77961406724793,0.33699310035572694,2.2457888738580323,8.076665195935604
136,0.85,0.01,0.5,84.44307133325889,84.67979580350926,0.33114637740560227,2.2399421509079076,8.07081847298548
137,0.85,0.01,0.45,84.4369321729124,84.67557513077107,0.32500721705912383,2.233802990561429,8.064679312639
138,0.85,0.01,0.4,84.42997619383709,84.6707928951568,0.3180512379838092,2.2268470114861145,8.057723333563686
139,0.85,0.01,0.35,84.42703370876396,84.66876993666901,0.31510875291067464,2.22390452641298,8.054780848490552
140,0.85,0.01,0.3,84.42703370876396,84.66876993666901,0.31510875291067464,2.22390452641298,8.054780848490552
141,0.85,0.01,0.25,84.42703370876396,84.66876993666901,0.31510875291067464,2.22390452641298,8.054780848490552
142,0.85,0.01,0.2,84.42703370876396,84.66876993666901,0.31510875291067464,2.22390452641298,8.054780848490552
143,0.85,0.01,0.15,84.42703370876396,84.66876993666901,0.31510875291067464,2.22390452641298,8.054780848490552
144,0.85,0.01,0.1,84.42703370876396,84.66876993666901,0.31510875291067464,2.22390452641298,8.054780848490552
145,0.8,0.04,0.5,84.42420974926434,84.78595877202706,0.3122847934110524,2.2210805669133578,8.05195688899093
146,0.95,0.05,0.35,84.41618126858504,84.7132785376993,0.30425631273175213,2.2130520862340575,8.04392840831163
147,0.85,0.05,0.5,84.40237858339025,84.76476924875458,0.29045362753696224,2.1992494010392676,8.03012572311684
148,0.8,0.04,0.45,84.39606703775597,84.75807001113985,0.2841420819026865,2.192937855404992,8.023814177482564
149,0.85,0.05,0.45,84.37423587188188,84.73688048786735,0.26231091602859635,2.1711066895309017,8.001983011608473
150,1.0,0.02,0.45,84.36518037877798,84.58242032949975,0.2532554229246955,2.162051196427001,7.9929275185045725
151,1.0,0.02,0.4,84.35822439970266,84.57763809388548,0.24629944384938085,2.155095217351686,7.985971539429258
152,0.85,0.04,0.35,84.35090259230617,84.68850623455424,0.23897763645288705,2.1477734099551924,7.978649732032764
153,1.0,0.02,0.35,84.34960356383426,84.57171126922594,0.23767860798098184,2.146474381483287,7.977350703560859
154,1.0,0.02,0.3,84.3398694909834,84.56501909414098,0.22794453513012058,2.136740308632426,7.967616630709998
155,1.0,0.02,0.5,84.3387228776519,84.5418205927132,0.2267979217986209,2.1355936953009262,7.966470017378498
156,0.85,0.04,0.2,84.33027766393691,84.6957964542645,0.2183527080836285,2.127148481585934,7.9580248036635055
157,1.0,0.02,0.25,84.33010713181613,84.55830747221349,0.21818217596285194,2.1269779494651573,7.957854271542729
158,0.85,0.04,0.15,84.32977979692429,84.7040226756613,0.21785484107100217,2.1266506145733075,7.957526936650879
159,0.9,0.05,0.35,84.3296285225773,84.67588183456483,0.21770356672401192,2.1264993402263173,7.957375662303889
160,0.95,0.05,0.2,84.32722687235648,84.64983351528927,0.21530191650319352,2.124097690005499,7.9549740120830705
